"Date","Cases","Deaths","Recovered"
2020-01-22,555,17,28
2020-01-23,653,18,30
2020-01-24,941,26,36
2020-01-25,1434,42,39
2020-01-26,2118,56,52
2020-01-27,2927,82,61
2020-01-28,5578,131,107
2020-01-29,6166,133,126
2020-01-30,8234,171,143
2020-01-31,9927,213,222
2020-02-01,12038,259,284
2020-02-02,16787,362,472
2020-02-03,19881,426,623
2020-02-04,23892,492,852
2020-02-05,27636,564,1124
2020-02-06,30818,634,1487
2020-02-07,34392,719,2011
2020-02-08,37121,806,2616
2020-02-09,40151,906,3244
2020-02-10,42763,1013,3946
2020-02-11,44803,1113,4683
2020-02-12,45222,1118,5150
2020-02-13,60370,1371,6295
2020-02-14,66887,1523,8058
2020-02-15,69032,1666,9395
2020-02-16,71226,1770,10865
2020-02-17,73260,1868,12583
2020-02-18,75138,2007,14352
2020-02-19,75641,2122,16121
2020-02-20,76199,2247,18177
2020-02-21,76843,2251,18890
2020-02-22,78599,2458,22886
2020-02-23,78985,2469,23394
2020-02-24,79570,2629,25227
2020-02-25,80415,2708,27905
2020-02-26,81397,2770,30384
2020-02-27,82756,2814,33277
2020-02-28,84122,2872,36711
2020-02-29,86013,2941,39782
2020-03-01,88371,2996,42716
2020-03-02,90309,3085,45602
2020-03-03,92843,3160,48229
2020-03-04,95123,3254,51171
2020-03-05,97885,3348,53797
2020-03-06,101799,3460,55866
2020-03-07,105835,3558,58359
2020-03-08,109836,3803,60695
